tipo	bairro	área (m2)	quartos	banheiros	vagas de garagem	preço
Apartamento	Ingleses do Rio Vermelho	55.0	2.0	1.0	1.0	105000.0
Apartamento	Ingleses do Rio Vermelho	39.0	1.0	1.0	1.0	110000.0
Apartamento	Ingleses do Rio Vermelho	50.0	2.0	1.0	1.0	128000.0
Apartamento	Ingleses do Rio Vermelho	65.0	2.0	1.0	1.0	135000.0
Apartamento	Ingleses do Rio Vermelho	72.0	2.0	2.0	1.0	135000.0
Apartamento	Ingleses do Rio Vermelho	42.0	2.0	1.0	1.0	135000.0
Apartamento	Ingleses do Rio Vermelho	48.0	2.0	1.0	1.0	135000.0
Apartamento	Ingleses do Rio Vermelho	42.0	2.0	2.0	1.0	139000.0
Apartamento	Ingleses do Rio Vermelho	12.0	2.0	2.0	1.0	140000.0
Apartamento	Ingleses do Rio Vermelho	45.0	2.0	1.0	1.0	140000.0
Apartamento	Morro das Pedras	26.0	1.0	1.0	0.0	140000.0
Apartamento	Ingleses do Rio Vermelho	65.0	2.0	1.0	0.0	140000.0
Apartamento	Ingleses do Rio Vermelho	70.0	2.0	1.0	1.0	145000.0
Apartamento	Ingleses do Rio Vermelho	59.0	2.0	2.0	1.0	145000.0
Apartamento	Ingleses do Rio Vermelho	75.0	2.0	1.0	0.0	145000.0
Apartamento	Capoeiras	58.0	3.0	1.0	1.0	149000.0
Apartamento	Ingleses do Rio Vermelho	50.0	2.0	1.0	1.0	149000.0
Apartamento	Ingleses do Rio Vermelho	60.0	2.0	2.0	1.0	150000.0
Apartamento	Ingleses do Rio Vermelho	63.0	2.0	2.0	1.0	150000.0
Apartamento	Estreito	48.0	1.0	1.0	0.0	150000.0
Apartamento	Abraão	41.0	1.0	1.0	0.0	150000.0
Apartamento	São João do Rio Vermelho	62.0	2.0	1.0	1.0	155000.0
Apartamento	Rio Tavares	38.0	1.0	1.0	1.0	155000.0
Apartamento	Jardim Atlântico	65.0	3.0	1.0	0.0	158000.0
Apartamento	Ingleses do Rio Vermelho	55.0	3.0	1.0	1.0	159000.0
Apartamento	Campeche	33.0	1.0	1.0	0.0	160000.0
Apartamento	Ingleses do Rio Vermelho	52.0	2.0	2.0	1.0	160000.0
Apartamento	Ingleses do Rio Vermelho	20.0	3.0	2.0	1.0	160000.0
Apartamento	Estreito	41.0	1.0	1.0	0.0	160000.0
Apartamento	Ingleses do Rio Vermelho	67.0	2.0	2.0	1.0	160000.0
Apartamento	Ingleses do Rio Vermelho	65.0	3.0	2.0	1.0	160000.0
Apartamento	Ingleses do Rio Vermelho	55.0	2.0	2.0	1.0	160000.0
Apartamento	Ingleses do Rio Vermelho	65.0	3.0	3.0	1.0	160000.0
Apartamento	Vargem do Bom Jesus	69.0	1.0	1.0	2.0	165000.0
Apartamento	Capoeiras	72.0	2.0	1.0	1.0	165000.0
Apartamento	Coqueiros	55.0	2.0	1.0	0.0	169000.0
Apartamento	Ingleses do Rio Vermelho	46.0	1.0	1.0	1.0	169000.0
