tipo	bairro	área (m2)	quartos	banheiros	vagas de garagem	preço
Apartamento	Itacorubi	21	1	1	1	190000
Apartamento	Ingleses	23	2	1	1	262000
Apartamento	Jurerê	23	1	1	1	550000
Apartamento	Itacorubi	24	1	1		250000
Apartamento	Capoeiras	24	2	2	1	400000
Apartamento	Itacorubi	25	1	1	1	190000
Apartamento	Itacorubi	25	1	1	1	190000
Apartamento	Itacorubi	27	1	1	1	190000
Apartamento	Itacorubi	27	1	1	1	190000
Apartamento	Pantanal	28	1	1		199000
Apartamento	Pantanal	28	1	1		199000
Apartamento	Pantanal	28	1	1		210000
Apartamento	Pantanal	28	1	1		210000
Apartamento	Trindade	28	1	1	1	267000
Apartamento	Ingleses	29	1	1		110000
Apartamento	Ingleses	29	1	1		110000
Apartamento	Cachoeira do Bom Jesus	29	1	1		198000
Cobertura	Lagoa da Conceição	30	1	1		260000
Cobertura	Lagoa da Conceição	30	1	1		260000
Cobertura	Trindade	30	1	1	1	340000
Cobertura	Trindade	30	1	1	1	340000
Apartamento	Ingleses do Rio Vermelho	30	1	1		350000
Apartamento	Itacorubi	31	1	1	1	205000
Apartamento	Centro	32	1	1		200000
Apartamento	Centro	32	1	1		235000
Apartamento	Canasvieiras	32	1	1	2	275000
Apartamento	Canasvieiras	32	1	1	2	275000
Apartamento	Trindade	32	1	1	1	339000
Apartamento	Centro	32	1	1	2	370000
Apartamento	Centro	32	1		1	425000
Apartamento	Centro	33	1	1		189800
Apartamento	Centro	33	1	1		189800
Apartamento	Ingleses do Rio Vermelho	33	1	1		255000
Cobertura	Trindade	33	1	1	1	290000
Apartamento	Trindade	33	1	1	1	315000
Apartamento	Itacorubi	34	1	1	1	225000
Apartamento	Ponta das  Canas	34	1	1	1	285000
Apartamento	Trindade	34	1	1	1	315000
Apartamento	Córrego Grande	34	1	1	1	349000
Apartamento	Córrego Grande	34	1	1	1	349000
Apartamento	Trindade	34	1	1		420000
Apartamento	Trindade	34	1	1		420000
Cobertura	Lagoa da Conceição	34	1	1	1	450000
Apartamento	Centro	35	1	1		199000
Apartamento	Carvoeira	35	1	1		200000
Apartamento	Canasvieiras	35	1	1		215000
Apartamento	Itacorubi	35	1	1	1	235000
Apartamento	Ingleses do Rio Vermelho	35	1	1	1	255000
Apartamento	Ponta das  Canas	35	1	1	1	295000
Apartamento	Ponta das  Canas	35	1	1	1	295000
Apartamento	Ponta das  Canas	35	1	1	1	295000
Apartamento	Cachoeira do Bom Jesus	35	1	1	1	315000
Apartamento	Trindade	35	1			347242
Apartamento	Coqueiros	35	1	1		450000
Apartamento	Ingleses	36	1	1		195000
Apartamento	Ingleses do Rio Vermelho	36	1	1		199000
Apartamento	Ingleses do Rio Vermelho	36	1	1		199000
Apartamento	Centro	36	1	1		230000
Apartamento	Canasvieiras	36	1	1	1	230000
Apartamento	Itacorubi	36	1	1	1	235000
Apartamento	Pantanal	36	1	1	1	262000
Apartamento	Centro	36	1	1	1	286000
Apartamento	Trindade	36	1	1	1	350000
Apartamento	Centro	37	1	1		260000
Apartamento	Ingleses	37	1		1	260000
Apartamento	Ingleses	37	1		1	260000
Apartamento	Trindade	37	1	1	1	340000
Apartamento	Campeche	37	1	1	1	470000
Apartamento	Canasvieiras	38	1	1	1	140000
Apartamento	Canasvieiras	38	1	1	1	140000
Apartamento	Capoeiras	38	1	1	1	148000
Apartamento	Coqueiros	38	1	1		179000
Apartamento	Centro	38	1	1	1	280000
Apartamento	Itacorubi	38	1	1	1	299000
Apartamento	Itacorubi	38	1	1	1	299000
Apartamento	Saco dos Limões	38	1	2	1	330000
Apartamento	Córrego Grande	38	1	1	1	350000
Apartamento	Canasvieiras	38	1		1	360000
Apartamento	Ingleses	39	1	1	1	145000
Apartamento	Centro	39	1			180000
Apartamento	Centro	39	1			180000
Apartamento	Pantanal	39	1	1	1	215000
Apartamento	Canasvieiras	39	1	1	3	220000
Apartamento	Canasvieiras	39	1	1	3	220000
Apartamento	Centro	39	1	1	1	231563
Apartamento	Centro	39	1	1	1	231563
Apartamento	Centro	39	1	1		235000
Apartamento	Centro	39	1	1		235000
