tipo	bairro	área (m2)	quartos	banheiros	vagas de garagem	preço
Apartamento	Ingleses do Rio Vermelho	55	2	1	1	105000
Apartamento	Ingleses do Rio Vermelho	39	1	1	1	110000
Apartamento	Ingleses do Rio Vermelho	50	2	1	1	128000
Apartamento	Ingleses do Rio Vermelho	65	2	1	1	135000
Apartamento	Ingleses do Rio Vermelho	72	2	2	1	135000
Apartamento	Ingleses do Rio Vermelho	42	2	1	1	135000
Apartamento	Ingleses do Rio Vermelho	48	2	1	1	135000
Apartamento	Ingleses do Rio Vermelho	42	2	2	1	139000
Apartamento	Ingleses do Rio Vermelho	12	2	2	1	140000
Apartamento	Ingleses do Rio Vermelho	45	2	1	1	140000
Apartamento	Morro das Pedras	26	1	1		140000
Apartamento	Ingleses do Rio Vermelho	65	2	1		140000
Apartamento	Ingleses do Rio Vermelho	70	2	1	1	145000
Apartamento	Ingleses do Rio Vermelho	59	2	2	1	145000
Apartamento	Ingleses do Rio Vermelho	75	2	1		145000
Apartamento	Capoeiras	58	3	1	1	149000
Apartamento	Ingleses do Rio Vermelho	50	2	1	1	149000
Apartamento	Ingleses do Rio Vermelho	60	2	2	1	150000
Apartamento	Ingleses do Rio Vermelho	63	2	2	1	150000
Apartamento	Estreito	48	1	1		150000
Apartamento	Abraão	41	1	1		150000
Apartamento	São João do Rio Vermelho	62	2	1	1	155000
Apartamento	Rio Tavares	38	1	1	1	155000
Apartamento	Jardim Atlântico	65	3	1		158000
Apartamento	Ingleses do Rio Vermelho	55	3	1	1	159000
Apartamento	Campeche	33	1	1		160000
Apartamento	Ingleses do Rio Vermelho	52	2	2	1	160000
Apartamento	Ingleses do Rio Vermelho	20	3	2	1	160000
Apartamento	Estreito	41	1	1		160000
Apartamento	Ingleses do Rio Vermelho	67	2	2	1	160000
Apartamento	Ingleses do Rio Vermelho	65	3	2	1	160000
Apartamento	Ingleses do Rio Vermelho	55	2	2	1	160000
Apartamento	Ingleses do Rio Vermelho	65	3	3	1	160000
Apartamento	Vargem do Bom Jesus	69	1	1	2	165000
Apartamento	Capoeiras	72	2	1	1	165000
Apartamento	Coqueiros	55	2	1		169000
Apartamento	Ingleses do Rio Vermelho	46	1	1	1	169000
Apartamento	Ingleses do Rio Vermelho	60	2	2	1	169000
Apartamento	Ingleses do Rio Vermelho	69	2	1	1	169000
Apartamento	Coqueiros	57	2	1	1	170000
Apartamento	Centro	24	1	1		170000
Apartamento	Ingleses do Rio Vermelho	63	2	3	1	170000
Apartamento	Ingleses do Rio Vermelho	70	2	2	1	170000
Apartamento	Jardim Atlântico	48	2	1	1	170000
Apartamento	Ingleses do Rio Vermelho	50	2	1	1	170000
Apartamento	Ingleses do Rio Vermelho	66	2	2	1	170000
Apartamento	Jardim Atlântico	48	2	1	1	170000
Apartamento	Vargem do Bom Jesus	55	2	1	1	171000
Apartamento	Ingleses do Rio Vermelho	80	2	2	1	175000
Apartamento	Ingleses do Rio Vermelho	79	2	2	1	175000
Apartamento	Ingleses do Rio Vermelho	55	2	3	1	175000
Apartamento	Ingleses do Rio Vermelho	80	2	1	1	175000
Apartamento	Ingleses do Rio Vermelho	73	2	1	1	175000
Apartamento	Capoeiras	53	2	1	1	175000
Apartamento	Capoeiras	72	2	1		175000
Apartamento	Ingleses do Rio Vermelho	72	2	2	1	180000
Apartamento	Ingleses do Rio Vermelho	72	2	2	1	180000
Apartamento	Ingleses do Rio Vermelho	70	2	2	1	180000
Apartamento	Ingleses do Rio Vermelho	68	2	2	1	180000
Apartamento	Capoeiras	59	2	1	1	180000
Apartamento	Campeche	79	3	2	1	180000
Apartamento	Ingleses do Rio Vermelho	60	2	1	1	180000
Apartamento	Ingleses do Rio Vermelho	83	3	1	1	180000
Apartamento	Ingleses do Rio Vermelho	64	2	2	1	180000
Apartamento	Jardim Atlântico	53	1	1	1	180000
Apartamento	Ingleses do Rio Vermelho	60	2	2		180000
Apartamento	Ingleses do Rio Vermelho	65	2	2	1	180000
Apartamento	Ingleses do Rio Vermelho	70	2	3	1	180000
Apartamento	Jardim Atlântico	58	3	1	1	183900
Apartamento	Estreito	44	2	1	1	183990
Apartamento	Abraão	55	2	1	1	184900
Apartamento	Capoeiras	59	2	1	1	185000
Apartamento	Estreito	64	2	1		185000
Apartamento	Jardim Atlântico	61	2	1		185000
Apartamento	Jardim Atlântico	61	2	1		185000
Apartamento	Estreito	44	2	1	1	185000
Apartamento	Ingleses do Rio Vermelho	99	2	2	1	185000
Apartamento	Ingleses do Rio Vermelho	61	2	1	1	185000
Apartamento	Ingleses do Rio Vermelho	64	2	2	1	185000
Apartamento	Ingleses do Rio Vermelho	50	1	1	1	186000
Apartamento	Ingleses do Rio Vermelho	60	2	2	1	188000
Apartamento	Centro	28	1	1		189800
Apartamento	Ingleses do Rio Vermelho	44	1	1	1	190000
Apartamento	Ingleses do Rio Vermelho	87	2	2	1	190000
Apartamento	Ingleses do Rio Vermelho	80	2	2	1	190000
Apartamento	Ribeirão da Ilha	63	2	1	1	190000
Apartamento	Centro	56	1	1		190000
Apartamento	Centro	55	1	1		190000
Apartamento	Ingleses do Rio Vermelho	55	2	2	1	190000
Apartamento	Ingleses do Rio Vermelho	70	2	2	1	190000
Apartamento	Ingleses do Rio Vermelho	53	1	1	1	190000
Apartamento	Ingleses do Rio Vermelho	61	2	2	1	190000
Apartamento	Ingleses Sul	50	2	1	1	190000
Apartamento	Coqueiros	56	2	1	1	190000
Apartamento	Ingleses do Rio Vermelho	57	2	2	1	190000
Apartamento	Ingleses do Rio Vermelho	50	1	1	1	191000
Apartamento	Jardim Atlântico	58	3	1		192900
Apartamento	Ingleses do Rio Vermelho	65	2	2	1	195000
Apartamento	Centro	46	1	1		195000
Apartamento	Estreito	55	2	1	1	195000
Apartamento	Centro	35	1	1		195000
Apartamento	Ingleses do Rio Vermelho	38	1	1	1	195000
Apartamento	Capoeiras	45	2	2		195000
Apartamento	Rio Tavares	50	2	1	1	195000
Apartamento	Ingleses do Rio Vermelho	45	1	1	1	195000
Apartamento	Ingleses do Rio Vermelho	68	2	3	2	196000
Apartamento	Capoeiras	58	2	1	1	197000
Apartamento	Ingleses do Rio Vermelho	40	1	1	1	198000
Apartamento	Ingleses do Rio Vermelho	84	2	3	1	199000
Apartamento	Pantanal	26	1	1		199000
Apartamento	Ingleses do Rio Vermelho	66	2	2	1	199000
Apartamento	Capoeiras	59	2	1	1	199000
Apartamento	Ingleses do Rio Vermelho	26	1	1	1	199000
Apartamento	Carvoeira	33	1	1		200000
Apartamento	Capoeiras	59	2	1	1	200000
Apartamento	Capoeiras	71	2	1	1	200000
Apartamento	Ingleses do Rio Vermelho	50	2	2	1	200000
Apartamento	Ingleses do Rio Vermelho	70	2	1	1	200000
Apartamento	Carvoeira	34	1	1		200000
Apartamento	Centro	25	1	1		200000
Apartamento	Carvoeira	33	1	1		200000
Apartamento	Jardim Atlântico	65	2	1	1	200000
Apartamento	Ingleses do Rio Vermelho	59	2	1	1	200000
Apartamento	Centro	30	1	1		200000
Apartamento	Ingleses do Rio Vermelho	59	2	2	1	200000
Apartamento	Ingleses do Rio Vermelho	60	2	2	1	200000
Apartamento	Ingleses do Rio Vermelho	66	2	2	1	200000
Apartamento	Cachoeira do Bom Jesus	47	1	1	1	200000
Apartamento	Canasvieiras	38	1	1		200000
Apartamento	Centro	40	1	1		200000
Apartamento	Campeche	58	2	2	1	200000
Apartamento	Ingleses do Rio Vermelho	80	2	1	1	200000
Apartamento	Ingleses do Rio Vermelho	62	2	1	1	200000
Apartamento	Ingleses do Rio Vermelho	62	2	1	1	200000
Apartamento	Ingleses do Rio Vermelho	48	1	1	1	206000
Apartamento	Ingleses do Rio Vermelho	63	2	2	1	209000
Apartamento	Centro	46	1	1		210000
Apartamento	Centro	39	1	1		210000
Apartamento	Canto	53	1	1	1	210000
Apartamento	Córrego Grande	62	1	1	1	210000
Apartamento	Canasvieiras	65	2	1	1	210000
Apartamento	Ingleses do Rio Vermelho	70	2	2	1	210000
Apartamento	Pantanal	26	1	1		210000
Apartamento	Estreito	44	2	1	1	210000
Apartamento	Coqueiros	66	3	1	1	212000
Apartamento	Centro	37	1	1	1	212000
Apartamento	Coqueiros	66	3	1	1	212000
Apartamento	Coqueiros	66	3	1	1	212000
Apartamento	Coqueiros	66	3	1	1	212766
Apartamento	Coqueiros	66	3	1	1	213000
Apartamento	Capoeiras	78	2	1	1	214000
Apartamento	Capoeiras	66	2	1	1	214000
Apartamento	Capoeiras	75	3	1	1	215000
Apartamento	Ingleses do Rio Vermelho	80	2	2	1	215000
Apartamento	Coqueiros	66	3	1	1	215000
Apartamento	Ingleses do Rio Vermelho	70	2	1	1	215000
Apartamento	Pantanal	39	1	1	1	215000
Apartamento	Ingleses do Rio Vermelho	65	2	2	1	215000
Apartamento	Pantanal	39	1	1	1	215000
Apartamento	Coqueiros	78	3	1		215000
Apartamento	Coqueiros	44	2	1	1	215000
Apartamento	Estreito	64	2	2		215000
Apartamento	Coqueiros	44	2	1	1	215000
Apartamento	Cachoeira do Bom Jesus	38	1	1	1	219000
Apartamento	Centro	43	1	1		219000
Apartamento	Ingleses do Rio Vermelho	45	1	1	1	219500
Apartamento	Centro	30	1	1		219890
Apartamento	Centro	43	1	1		219900
Apartamento	Ingleses do Rio Vermelho	69	2	2	1	220000
Apartamento	Ingleses do Rio Vermelho	60	2	2	1	220000
Apartamento	Ingleses do Rio Vermelho	72	2	1	1	220000
Apartamento	Itacorubi	29	1	1	1	220000
Apartamento	Ingleses do Rio Vermelho	60	3	2	1	220000
Apartamento	Centro	42	1	1		220000
Apartamento	Balneário	54	2	1	1	220000
Apartamento	Canasvieiras	42	1	1		220000
Apartamento	Abraão	68	2	1	1	220000
Apartamento	Ingleses do Rio Vermelho	65	2	1		220000
Apartamento	Ingleses do Rio Vermelho	58	1	1	1	220000
Apartamento	Cachoeira do Bom Jesus	47	1	1	1	220000
Apartamento	Saco Grande	63	3	1	1	220010
Apartamento	Ingleses do Rio Vermelho	45	1	1	1	220080
Apartamento	Ingleses do Rio Vermelho	64	2	1	1	223000
Apartamento	Ingleses do Rio Vermelho	65	2	2	1	223000
Apartamento	Centro	39	1	1	1	225000
Apartamento	Itacorubi	29	1	1	1	225000
Apartamento	Agronômica	41	2	1		225000
Apartamento	Centro	37	1	1	1	225000
Apartamento	Abraão	52	2	1	1	225000
Apartamento	Ingleses do Rio Vermelho	118	3	2	1	229000
Apartamento	Capoeiras	55	2	1	1	230000
Apartamento	Capoeiras	55	2	1	1	230000
Apartamento	Centro	37	1	1		230000
Apartamento	Capoeiras	70	2	1	1	230000
Apartamento	Centro	23	1	1		230000
Apartamento	Canto	63	2	1	1	230000
Apartamento	Abraão	52	2	1	1	230000
Apartamento	Jardim Atlântico	48	2	1	1	230000
Apartamento	Abraão	76	2	1	1	230000
Apartamento	Centro	65	1	1	1	230000
Apartamento	Canasvieiras	48	1	1	1	230000
Apartamento	Abraão	59	2	1	1	230000
Apartamento	Ingleses do Rio Vermelho	65	2	2	2	230000
Apartamento	Ingleses do Rio Vermelho	75	2	2	1	230000
Apartamento	Capoeiras	77	2	1	1	230000
Apartamento	Itacorubi	31	1	1	1	230000
Apartamento	Centro	43	1	1		230000
Apartamento	Ingleses do Rio Vermelho	52	1	1	1	230000
Apartamento	Centro	68	2	1		230000
Apartamento	Coqueiros	48	1	1	1	230000
Apartamento	Campeche	50	2	1	1	230000
Apartamento	Centro	37	1	1		230000
Apartamento	Estreito	58	2	1	1	230000
Apartamento	Capoeiras	68	3	2	1	230000
Apartamento	Ingleses do Rio Vermelho	92	2	2	1	230000
Apartamento	Centro	37	1	1		230000
Apartamento	Itacorubi	21	1	1	1	230000
Apartamento	Vargem Pequena	58	2	1		231000
Apartamento	Jardim Atlântico	44	2	1	1	231000
Apartamento	Vargem Pequena	52	2	1	1	231000
Apartamento	Canasvieiras	40	1	1	1	234660
Apartamento	Coqueiros	67	3	1	1	235000
Apartamento	Centro	23	1	1		235000
Apartamento	Ingleses do Rio Vermelho	70	2	2	1	235000
Apartamento	Capoeiras	63	2	1		235000
Apartamento	Canasvieiras	35	1	1	1	235000
Apartamento	Capoeiras	52	2	1	1	235000
Apartamento	Coqueiros	67	3	1	1	235000
Apartamento	Abraão	60	3	1	1	235000
Apartamento	Centro	24	1	1		235000
Apartamento	Abraão	51	2	1	1	235000
Apartamento	Vargem Pequena	58	2	1	1	236000
Apartamento	Vargem Pequena	57	2	1		237000
Apartamento	Coqueiros	67	2	1		237000
Apartamento	Ingleses do Rio Vermelho	51	1	1	1	238000
Apartamento	Ingleses do Rio Vermelho	84	3	2	1	238000
Apartamento	Santo Antônio de Lisboa	31	1	1	1	238000
Apartamento	Coqueiros	44	1	1	1	239000
Apartamento	Capoeiras	79	2	1	2	240000
Apartamento	Ingleses do Rio Vermelho	53	2	1	1	240000
Apartamento	Carvoeira	50	1	1		240000
Apartamento	Ingleses do Rio Vermelho	52	2	1	1	240000
Apartamento	Canasvieiras	60	2	1	1	240000
Apartamento	Centro	29	1	1		240000
Apartamento	Ingleses do Rio Vermelho	57	2	1	1	240000
Apartamento	Ingleses do Rio Vermelho	62	2	1	1	240000
Apartamento	Ingleses do Rio Vermelho	65	2	2	1	240000
Apartamento	Estreito	45	1	1		240000
Apartamento	Campeche	55	2	2	1	240000
Apartamento	Centro	45	1	1		240000
Apartamento	Centro	29	1	1		240000
Apartamento	Vargem do Bom Jesus	52	2	1	2	240000
Apartamento	Vargem do Bom Jesus	82	2	1	2	240000
Apartamento	Ingleses do Rio Vermelho	77	2	2	1	240000
Apartamento	Vargem do Bom Jesus	55	2	1	1	242050
Apartamento	Vargem do Bom Jesus	58	2	1	1	242050
Apartamento	Vargem Grande	58	2	1	1	243000
Apartamento	Vargem Grande	55	2	1	1	243888
Apartamento	Centro	50	1	1		244990
Apartamento	Canasvieiras	43	1	1	1	245000
Apartamento	Trindade	48	1	1	1	245000
Apartamento	Trindade	48	1	1		245000
Apartamento	Canasvieiras	43	1	1	1	245000
Apartamento	Canasvieiras	42	1	1	1	245000
Apartamento	Canto	81	3	2	1	245000
Apartamento	Jardim Atlântico	67	2	1	1	245000
Apartamento	Ingleses do Rio Vermelho	46	1	1	1	245000
Apartamento	Capoeiras	48	2	1	1	245000
Apartamento	Capoeiras	72	3	1	1	245000
Apartamento	Abraão	58	2	2		245000
Apartamento	Ingleses do Rio Vermelho	79	2	1	1	245000
Apartamento	Capoeiras	62	2	1	1	245000
Apartamento	Ingleses do Rio Vermelho	45	1	1	1	245000
Apartamento	Canasvieiras	43	1	1	1	245020
Apartamento	Coqueiros	74	2	1		246000
Apartamento	Ingleses do Rio Vermelho	104	2	2	1	247000
Apartamento	Jardim Atlântico	67	2	1	1	247000
Apartamento	Vargem do Bom Jesus	57	2	2	1	247200
Apartamento	Canasvieiras	40	1	1		248000
Apartamento	Ingleses do Rio Vermelho	65	2	2	1	249000
Apartamento	Canasvieiras	43	1	1	1	249000
Apartamento	Canto	72	3	1		249000
Apartamento	Ingleses do Rio Vermelho	72	3	3	1	249000
Apartamento	Pantanal	50	1	1		249890
Apartamento	Rua Bem-Te-Vi - Ingleses do Rio Vermelho	40	1	1	1	250000
Apartamento	Capoeiras	74	3	1	1	250000
Apartamento	Ingleses do Rio Vermelho	70	2	2	1	250000
Apartamento	Canasvieiras	62	1	1	1	250000
Apartamento	Abraão	62	3	1	1	250000
Apartamento	Ingleses do Rio Vermelho	52	2	1	1	250000
Apartamento	Capoeiras	64	2	1	1	250000
Apartamento	Ingleses do Rio Vermelho	44	2	2	1	250000
Apartamento	Capoeiras	74	3	1	1	250000
Apartamento	Ingleses do Rio Vermelho	52	2	1	1	250000
Apartamento	Lagoa da Conceição	36	1	1	1	250000
Apartamento	Capoeiras	75	2	2	1	250000
Apartamento	Ingleses do Rio Vermelho	50	1	1	1	250000
Apartamento	Coqueiros	59	2	1		250000
Apartamento	Centro	55	2	1		250000
Apartamento	Capoeiras	74	3	1	1	250000
Apartamento	Rio Tavares	43	1	1		250000
Apartamento	Centro	58	2	1		250000
Apartamento	Centro	48	1	1		250000
Apartamento	Campeche	48	2	1	1	250000
Apartamento	Capoeiras	65	2	1	1	250000
Apartamento	Coqueiros	45	2	1	1	250000
Apartamento	Coqueiros	65	3	1	1	250000
Apartamento	Centro	35	1	1		250000
Apartamento	Capoeiras	64	2	1	1	250000
Apartamento	Ingleses do Rio Vermelho	60	1	1	1	250000
Apartamento	Pantanal	50	1	1		250000
Apartamento	Centro	55	1	1		250000
Apartamento	Centro	55	1	1		250000
Apartamento	Ingleses do Rio Vermelho	68	2	2	1	250000
Apartamento	Centro	55	2	1		250000
Apartamento	Coqueiros	87	2	2		250000
Apartamento	Estreito	69	2	1	1	250000
Apartamento	Abraão	52	2	1	1	250000
Apartamento	Centro	55	1	1		250000
Apartamento	Ingleses do Rio Vermelho	77	3	2	1	250000
Apartamento	Ingleses do Rio Vermelho	58	2	1	1	250000
Apartamento	Ingleses do Rio Vermelho	76	2	2	1	250000
Apartamento	Centro	55	2	1		250000
Apartamento	Capoeiras	69	3	2	2	252000
Apartamento	Ingleses do Rio Vermelho	48	1	1	1	254000
Apartamento	Canto	72	3	1	1	255000
Apartamento	Coqueiros	56	3	1	1	255000
Apartamento	Ingleses do Rio Vermelho	20	2	2	1	255000
Apartamento	Ingleses do Rio Vermelho	68	2	2	1	255000
Apartamento	Coqueiros	56	3	1	1	255000
Apartamento	Centro	40	1	1		256070
Apartamento	Centro	33	1	1	1	256574
Apartamento	Capoeiras	64	2	1	1	258000
Apartamento	Cachoeira do Bom Jesus	41	1	1	1	258125
Apartamento	Abraão	62	2	2	1	259000
Apartamento	Ingleses do Rio Vermelho	50	1	1	1	259000
Apartamento	Balneário	75	2	1	1	259000
Apartamento	Ingleses do Rio Vermelho	65	2	2	1	259000
Apartamento	Balneário	75	2	1	1	259000
Apartamento	Ingleses do Rio Vermelho	51	1	1	1	259000
Apartamento	Balneário	75	2	1	1	259000
Apartamento	Ingleses do Rio Vermelho	76	3	2	1	259000
Apartamento	Ingleses do Rio Vermelho	51	1	1	1	259040
Apartamento	Capoeiras	68	3	2	2	259500
Apartamento	Capoeiras	88	2	1	1	259990
Apartamento	Ingleses do Rio Vermelho	64	2	2	1	260000
Apartamento	Coqueiros	70	2	1	1	260000
Apartamento	Córrego Grande	47	1	1		260000
Apartamento	Morro das Pedras	53	2	2	1	260000
Apartamento	Canto	72	3	1	1	260000
Apartamento	Coqueiros	56	3	1	1	260000
Apartamento	Coqueiros	44	2	1	1	260000
Apartamento	Coqueiros	56	3	1	1	260000
Apartamento	Itacorubi	49	1	1	1	260000
Apartamento	Campeche	55	2	2		260000
Apartamento	Canasvieiras	65	2	1	1	260000
Apartamento	Costeira do Pirajubaé	57	2	1	1	260000
Apartamento	Coqueiros	44	2	1	1	260000
Apartamento	Capoeiras	63	2	1	1	260000
Apartamento	Canasvieiras	45	1	1	1	260000
Apartamento	Coqueiros	56	3	1	1	260000
Apartamento	Ingleses Centro	65	1	2	1	260000
Apartamento	Coqueiros	70	2	1	1	260000
Apartamento	Coqueiros	51	2	1	1	260000
Apartamento	Capoeiras	60	2	1	2	260000
Apartamento	Coqueiros	56	3	1	1	261000
Apartamento	Coqueiros	56	3	1	1	261000
Apartamento	Vargem Grande	60	2	2	1	263888
Apartamento	Coqueiros	59	3	1	1	265000
Apartamento	Coqueiros	57	2	1	1	265000
Apartamento	Coloninha	57	2	1	1	265000
Apartamento	Centro	40	1	1		265000
Apartamento	Canasvieiras	55	2	1	1	265000
Apartamento	Canto	79	3	2	1	265000
Apartamento	Coqueiros	60	2	1	1	265000
Apartamento	Itacorubi	48	2	1		265000
Apartamento	Estreito	65	2	2	1	265000
Apartamento	Ingleses do Rio Vermelho	40	1	1	1	265000
Apartamento	Centro	50	1	1		265000
Apartamento	Ingleses do Rio Vermelho	53	1	1		265000
Apartamento	Itacorubi	59	2	1	1	265000
Apartamento	Coqueiros	62	3	1		265000
Apartamento	Abraão	73	2	1	1	265000
Apartamento	Estreito	61	2	1	1	265000
Apartamento	Capoeiras	73	2	1	1	265000
Apartamento	Ingleses do Rio Vermelho	68	2	2		265000
Apartamento	Ingleses do Rio Vermelho	77	2	2	1	265000
Apartamento	Centro	50	1	1		265000
Apartamento	Canasvieiras	32	1	1	1	265000
Apartamento	Centro	50	1	1		265000
Apartamento	Canasvieiras	32	1	1	1	265950
Apartamento	Ingleses do Rio Vermelho	41	1	1	1	266000
Apartamento	Abraão	73	2	1	1	267000
Apartamento	Coloninha	58	2	1	1	268000
Apartamento	Coloninha	57	2	1	1	268000
Apartamento	Abraão	73	2	1	1	268000
Apartamento	Coloninha	58	2	1	1	268000
Apartamento	Trindade	53	2	1		269000
Apartamento	Centro	61	2	1		269000
Apartamento	Centro	73	2	1		269000
